"@SmileSimplify Fun, exciting tweets coming soon!"
@SmileSimplify Sorry about that. You're right. I was depressing myself too :(
"@AndrewKemendo Govts don't need to follow normal laws. They will obtain AI developed by companies at gunpoint, if necessary."
@ItchGrid Should be low on our list of concerns for civilizational existential risk. NK has no entangling alliances… https://t.co/aFUetANTvB
"@SethicusGP NK launching a nuclear missile would be suicide for their leadership, as SK, US and China wd invade and… https://t.co/lmbkjRsucC"
"@JakeBlueatSM May be initiated not by the country leaders, but one of the AI's, if it decides that a prepemptive st… https://t.co/Ydj22p10gq"
"China, Russia, soon all countries w strong computer science. Competition for AI superiority at national level most likely cause of WW3 imo."
@WendyWednesday8 Zeroth Law
It begins ... https://t.co/mbjw5hWC5J
