"Max acceleration was 6X gravity, altitude 1187m, lateral distance 1202m and velocity 155 m/s. Main chutes deployed 970m."
"Dragon abort test video
https://t.co/qsdSCEcPnm"
"Dragon abort test stats: 0 to 100 mph in 1.2 sec, top speed of 345 mph"
"RT @SpaceX: This morning, a Crew Dragon test article completed a Pad Abort Test, the 1st critical test in prep for human missions http://t.…"
