@samboykin @danahull the only thing beyond ludicrous is plaid
"@jpfrappier yes, will go all the way to Alaska"
"RT @TeslaMotors: This is Ludicrous. Model S P90D takes on @Boeing 737 @Qantas
https://t.co/9mPK1mk0Kf"
"@Recode Dex will do comms, but my speeches are just a conversation w the audience. No time to rehearse &amp; don't want to read from a prompter."
@maximumblue we will
@LaurenShearer1 Doesn't sound right. Will check into it.
@MThorpXXi We are working on enlarging the opening. Aperture will be big enough for almost anything.
