"West Coast droneship under construction will be named ""Of Course I Still Love You"""
"Good primer on the exponential advancement of technology, particularly AI http://t.co/1c30ZwJ8Y5"
@thomasmuirhead Good piece
"@elonmusk ... In honor of IMB, RIP."
"Repairs almost done on the spaceport drone ship and have given it the name ""Just Read the Instructions"""
