@lorengrush exactly :)
Pushing launch to Friday due to extreme high altitude wind shear. Hits like a sledgehammer when going up supersonic https://t.co/Gr8T5upaLd
@PernilleT Only heard about it today. Doesn't sound like they are in the right though in their dealings with our subcontractor.
"RT @alexisgeo: ""Tesla's Model X Is Mind Blowing in How Awesome It Is"" -@TheStreet @Chris_Ciaccia #MeetModelX https://t.co/tkUTJRtNMa"
