@Nezheim @jbmeicher sure :)
.@jbmeicher Model S works great in cold. Highest sales/capita are in Norway and we have a ton of customers in Canada.
"But when considering savings of gas v electricity, true cost vs gas cars is more like $25k for a v sweet ride"
.@benmacy $30k in 2013 $ (ie + inflation) w 200+ mile range w some really cool tech that we can't talk about yet.
".@joshj777 It has always been my dream to produce a low cost, compelling electric car. We are 3 to 4 years away. Wish it could be sooner."
@malkosh was this in a test drive car (those are all about to be upgraded) or a current customer car?
Review of Tesla Model S by @RoadandTrack. Good article w minor errors addressed in reader comments http://t.co/qfQDWL96wQ
"When Shoemaker-Levy comet hit Jupiter in 94, it made an Earth size hole. We wd be super dead if it actually hit Earth http://t.co/b6IyuLoHIo"
Probably true imo “@bbcscitech: Dinosaur-killing rock 'was a comet' http://t.co/wZhjXrl9NV”
