@mattyteare @karaswisher @waltmossberg @YouTube autosteering chutes will be added soon
Recode interview with @karaswisher and @waltmossberg https://t.co/BDqQ7RreV2 via @YouTube
"Supercharger policy explained well by @LATimes:

https://t.co/F0CInMW1yU

Will post detailed description soon. I think it's a good balance."
