@kakurady @xenophrenia Exactly. Those are the best ones.
@MacTechGenius Going out this week for X and outside North America
"RT @VentureBeat: Tesla delivers 24,500 vehicles in Q3, a 111% annual increase https://t.co/MwvnwqV1qG by @thekenyeung"
"Wow, this tweet is like a Rorschach test"
"No irony or uhh ""shade"" meant here. T's character is excellent and well-played. Worth seeing."
Some of the future episodes of Westworld feature my ex. Talulah does a great job of playing a deadly sexbot :)
"RT @WestworldHBO: Live without limits. 
#Westworld premieres tonight at 9PM on @HBO.
https://t.co/JiVuKbXwes https://t.co/ZvkY2kG5qD"
More Kerbal! https://t.co/IDeV1wAfVR
