https://t.co/is6Hthjjoj
First Production Model 3 https://t.co/TCa2NSUNI3
"@yoda It's who is first to pay full price for the car. Hard rule. I have first Roadster and X, but not first S."
"@bdsams Ira Ehrenpreis had rights to 1st car as he was 1st to place a full deposit, but gave those rights to me as… https://t.co/gIkb0p8Jms"
Production unit 1 of Model 3 is now built and going through final checkout. Pics soon.
