"@redletterdave Ok, fine. Soldier 76. My dark secret is out ..."
@danahull I share The Economist's opinion that he should be given the benefit of the doubt unless his actions prove otherwise
"@danahull Rex is an exceptionally competent executive, understands geopolitics and knows how to win for his team. His team is now the USA."
"@TheEconomist This may sound surprising coming from me, but I agree with The Economist. Rex Tillerson has the poten… https://t.co/2BddSK9IBI"
@dean_arexding There will be a software update this weekend that improves self-calibration ability
"RT @neiltyson: In 1927 Lindbergh flew from NY to Paris. 45 yrs later, in 1972 we last walked on the Moon. 45 yrs later, in 2017 we… we… we…"
"@tsrandall 3 months maybe, 6 months definitely"
