Walking down the street and saw this https://t.co/Mpv5j6088K
@ChrisJCav Maybe my favorite mug ever
@nintendomaniac @alext4627 I wish!
"@OldManRiver1800 Then so be it. I'd rather do what I believe is right, than do what appears right simply to avoid criticism."
"@bonnienorman @advandermeer Wow, cool!"
@alext4627 That's exactly what I thought. Love Half-Life.
@ana_lontana Nuances are important :)
"Rainbows, unicorns and electric cars https://t.co/oGHkVUmpdi"
26 ft diameter tunnel running 2 miles under D.C. https://t.co/XFQkioEsg8
@eveegdmann Really don't want to get in politics. I just want to help invent and develop technologies that improve lives. Feels so bizarre.
"@DanielleBloeme Yes, for now, but this should be addressed on all fronts: judicial, legislative and executive."
"In addition, I again raised climate. I believe this is doing good, so will remain on council &amp; keep at it. Doing otherwise would be wrong."
"At my request, the agenda for yesterday's White House meeting went from not mentioning the travel ban to having it be first and foremost"
@PeterGleick @business First I've heard of this meeting. Will find out why.
@OfficeOfOMAR maybe
Video of MIT's entrant into the SpaceX Hyperloop competition. Air has been removed from the  Hyperloop tube to almo… https://t.co/fTGsHKcarf
Minecraft https://t.co/lU1YzJjLOZ
"@mcun1 Yes. Green cards &amp; dual citizens already ok. Work &amp; spousal visas not yet, but hopefully soon. This is separate from judicial action."
There has already been and there will be progress on this matter
