@RobinWigg Great comedy! They should write for @TheOnion.
@HCPG Most likely
"@hellenomwando @MarkBungerLux Also, we will have a very high headcount around each Gigafactory keeping it running.… https://t.co/rDNUo36rB4"
@hellenomwando @MarkBungerLux Probably closer to four or five factories. Logistics costs mean you want to be close to the end customer.
@TheStaceyRoy @TeslaMotors California Cabernet
@rolandscahill @TeslaMotors Wearing anything at all is just a conspiracy by the capitalist running dogs of Big Underwear
RT @TeslaMotors: Send us questions today for Elon to answer at our Shareholders Meeting tomorrow
He was great though
https://t.co/Uu6DQa3Kx4
Was just at the DMV &amp; dude had the actual sloth from Zootopia on his desk https://t.co/uxPMFX64ba
"@commoboy @SpaceX Most people don't realize you can see Dragon approach the Space Station from the ground, even in LA"
