"@mrDeanMiller When we upgrade the core Linux OS to 4.4, which is probably December"
"Sabotage of the rocket is unlikely, but this article has some great theories :)
https://t.co/1fCRbZvRHo"
RT @dougfeig: @elonmusk's ITS carbon composite LOX tank in context.  https://t.co/fQVMZzxtkZ https://t.co/P6Y7FsQz8d
RT @TeslaMotors: Tesla's first Powerpacks in Africa will be paired with solar for an off-grid installation at @Singita_ safari lodge in @SA…
